date,id_compteur,nb_passages
2025-01-20,100004575,0
2025-01-20,100007390,2128
2025-01-20,100011747,54
2025-01-20,100011783,139
2025-01-20,100012217,225
2025-01-20,100017441,444
2025-01-20,100017523,75
2025-01-20,100025474,1404
2025-01-20,100035408,84
2025-01-20,100035409,0
2025-01-20,100041114,51
2025-01-20,100047030,57
2025-01-20,100052600,292
2025-01-20,100052602,5
2025-01-20,100052603,20
2025-01-20,100052605,16
2025-01-20,100052606,81
2025-01-20,100053055,15
2025-01-20,100053059,80
2025-01-20,100053210,52
2025-01-20,100054073,45
2025-01-20,100055268,89
2025-01-20,100056188,262
2025-01-20,300014985,430
2025-01-20,300014986,428
2025-01-20,300014993,131
2025-01-20,300014994,102
2025-01-20,300014995,463
2025-01-20,300014996,403
2025-01-20,300020478,134
2025-01-20,300020679,703
2025-01-20,300020816,271
2025-01-20,300020817,271
2025-01-20,300021685,0
2025-01-20,300028650,77
2025-01-20,ZLT24020668,49
2025-01-20,ZLT24020669,48
2025-01-21,100001753,131
2025-01-21,100003032,601
2025-01-21,100003040,2
2025-01-21,100003041,347
2025-01-21,100003042,333
2025-01-21,100004575,0
2025-01-21,100007390,2411
2025-01-21,100011747,87
2025-01-21,100011783,150
2025-01-21,100012217,242
2025-01-21,100017441,513
2025-01-21,100017523,86
2025-01-21,100025474,1732
2025-01-21,100035408,86
2025-01-21,100035409,0
2025-01-21,100041114,18
2025-01-21,100047030,125
2025-01-21,100052600,293
2025-01-21,100052602,4
2025-01-21,100052603,17
2025-01-21,100052605,15
2025-01-21,100052606,70
2025-01-21,100053055,23
2025-01-21,100053059,75
2025-01-21,100053210,42
2025-01-21,100054073,36
2025-01-21,100055268,107
2025-01-21,100056188,282
2025-01-21,300014985,482
2025-01-21,300014986,462
2025-01-21,300014993,124
2025-01-21,300014994,98
2025-01-21,300014995,528
2025-01-21,300014996,467
2025-01-21,300020478,153
2025-01-21,300020679,798
2025-01-21,300020816,278
2025-01-21,300020817,240
2025-01-21,300021685,0
2025-01-21,300028650,117
2025-01-21,ZLT24020668,52
2025-01-21,ZLT24020669,51
2025-01-22,100001753,130
2025-01-22,100003032,596
2025-01-22,100003040,3
2025-01-22,100003041,404
2025-01-22,100003042,353
2025-01-22,100004575,0
2025-01-22,100007390,2346
2025-01-22,100011747,89
2025-01-22,100011783,161
2025-01-22,100012217,257
2025-01-22,100017441,556
2025-01-22,100017523,118
2025-01-22,100025474,1027
2025-01-22,100035408,92
2025-01-22,100035409,0
2025-01-22,100041114,33
2025-01-22,100047030,128
2025-01-22,100052600,335
2025-01-22,100052602,3
2025-01-22,100052603,15
2025-01-22,100052605,17
2025-01-22,100052606,83
2025-01-22,100053055,17
2025-01-22,100053059,56
2025-01-22,100053210,43
2025-01-22,100054073,48
2025-01-22,100055268,85
2025-01-22,100056188,339
2025-01-22,300014985,543
2025-01-22,300014986,505
2025-01-22,300014993,123
2025-01-22,300014994,102
2025-01-22,300014995,549
2025-01-22,300014996,516
2025-01-22,300020478,178
2025-01-22,300020679,831
2025-01-22,300020816,316
2025-01-22,300020817,275
2025-01-22,300021685,0
2025-01-22,300028650,137
2025-01-22,ZLT24020668,62
2025-01-22,ZLT24020669,66
2025-01-23,100001753,149
2025-01-23,100003032,671
2025-01-23,100003040,4
2025-01-23,100003041,401
2025-01-23,100003042,394
2025-01-23,100004575,0
2025-01-23,100007390,2263
2025-01-23,100011747,123
2025-01-23,100011783,193
2025-01-23,100012217,281
2025-01-23,100017441,611
2025-01-23,100017523,96
2025-01-23,100025474,999
2025-01-23,100035408,115
2025-01-23,100035409,0
2025-01-23,100041114,25
2025-01-23,100047030,149
2025-01-23,100052600,372
2025-01-23,100052602,4
2025-01-23,100052603,27
2025-01-23,100052605,16
2025-01-23,100052606,76
2025-01-23,100053055,28
2025-01-23,100053059,77
2025-01-23,100053210,45
2025-01-23,100054073,46
2025-01-23,100055268,107
2025-01-23,100056188,382
2025-01-23,300014985,571
2025-01-23,300014986,555
2025-01-23,300014993,165
2025-01-23,300014994,129
2025-01-23,300014995,643
2025-01-23,300014996,571
2025-01-23,300020478,188
2025-01-23,300020679,946
2025-01-23,300020816,364
2025-01-23,300020817,315
2025-01-23,300021685,6
2025-01-23,300028650,156
2025-01-23,ZLT24020668,57
2025-01-23,ZLT24020669,56
2025-01-24,100001753,108
2025-01-24,100003032,553
2025-01-24,100003040,9
2025-01-24,100003041,311
2025-01-24,100003042,249
2025-01-24,100004575,0
2025-01-24,100007390,816
2025-01-24,100011747,73
2025-01-24,100011783,138
2025-01-24,100012217,337
2025-01-24,100017441,377
2025-01-24,100017523,46
2025-01-24,100025474,1062
2025-01-24,100035408,124
2025-01-24,100035409,0
2025-01-24,100041114,19
2025-01-24,100047030,105
2025-01-24,100052600,275
2025-01-24,100052602,0
2025-01-24,100052603,31
2025-01-24,100052605,12
2025-01-24,100052606,54
2025-01-24,100053055,20
2025-01-24,100053059,79
2025-01-24,100053210,43
