annee,arrond_id,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
1998,27,CA,479,42589.0,19061646.0
1998,27,CO,157,186776.0,114347000.0
1998,27,DE,18,21089.0,
1998,27,TR,82,77039.0,31769650.0
1998,16,CO,428,61411.0,29504238.0
1998,16,DE,133,3325.0,
1998,6,CO,23,129052.11,23758766.0
1998,6,DE,22,3090.0,
1998,6,TR,1129,1703674.62,253156585.0
1998,2,CO,13,21195.0,5170478.0
1998,2,DE,33,1550.0,
1998,2,TR,355,116389.67,15048052.0
1999,1,CO,63,41994.7,7413815.0
1999,1,DE,14,2680.0,
1999,1,TR,350,157955.2,20994177.0
1999,10,"CO, DE",269,131217.61,62960060.0
1999,7,CO,57,372704.54,50008081.0
1999,7,DE,20,4030.0,
1999,7,TR,565,417952.74,60074761.0
1999,22,"CA, CO, DE, TR",269,45787.0,15757630.0
1999,13,CA,1816,259831.0,1796939.0
1999,13,CO,205,57149.0,35780330.0
1999,13,TR,90,13647.0,7767150.0
1999,24,"CA, CO, TR",20,10341.0,2922800.0
1999,5,CO,18,47438.25,5978100.0
1999,5,DE,57,2370.0,
1999,5,TR,711,228479.03,29537156.0
1999,8,CO,25,108647.5,16297333.0
1999,8,DE,44,1550.0,
1999,8,TR,285,147093.38,19758633.0
1999,4,CO,71,113056.5,18977466.0
1999,4,DE,83,3720.0,
1999,4,TR,422,193411.41,26601832.0
1999,9,CO,150,90980.5,16690184.0
1999,9,DE,16,4030.0,
1999,9,TR,287,233627.26,39013130.0
1999,3,CO,138,176108.0,30274736.0
1999,3,DE,55,11550.0,
1999,3,TR,417,178381.69,23816019.0
1999,27,CA,757,67004.0,36479662.0
1999,27,CO,218,220701.0,96736122.0
1999,27,DE,13,10080.2,
1999,27,TR,73,73209.0,49883992.0
1999,16,CO,358,81408.0,50718153.0
1999,16,DE,254,8285.0,
1999,6,CO,37,114761.71,15833295.0
1999,6,DE,42,7515.0,
1999,6,TR,1281,1782143.02,256394639.0
1999,2,CO,25,55656.5,9122600.0
1999,2,DE,38,2605.0,
1999,2,TR,325,281931.26,51345140.0
2000,1,CO,111,89822.75,16800643.0
2000,1,DE,27,5580.0,
2000,1,TR,328,168234.73,24000468.0
2000,10,"CO, DE",276,84713.9,38461110.0
2000,7,CO,30,123298.2,29423695.0
2000,7,DE,19,1600.0,
2000,7,TR,596,330177.99,52692305.0
2000,22,"CA, CO, DE, TR",271,35574.0,12716716.0
2000,13,CA,1722,145975.0,1883835.0
