heure,id_compteur,nb_passages
02:45:00,100053059,73
02:45:00,100053210,90
02:45:00,100054073,80
02:45:00,100055268,180
02:45:00,100056188,1077
02:45:00,300014985,683
02:45:00,300014986,1284
02:45:00,300014993,261
02:45:00,300014994,19
02:45:00,300014995,1476
02:45:00,300014996,564
02:45:00,300020478,426
02:45:00,300020679,472
02:45:00,300020816,203
02:45:00,300020817,510
02:45:00,300021685,13
02:45:00,300022314,0
02:45:00,300028650,135
02:45:00,ZLT24020668,141
02:45:00,ZLT24020669,99
03:00:00,100001753,281
03:00:00,100003032,913
03:00:00,100003040,9
03:00:00,100003041,541
03:00:00,100003042,495
03:00:00,100004575,0
03:00:00,100007390,2196
03:00:00,100011747,113
03:00:00,100011783,244
03:00:00,100012217,660
03:00:00,100012218,127
03:00:00,100017441,657
03:00:00,100017523,29
03:00:00,100025474,713
03:00:00,100034805,5
03:00:00,100035408,6
03:00:00,100035409,0
03:00:00,100041114,55
03:00:00,100047030,405
03:00:00,100052600,581
03:00:00,100052602,10
03:00:00,100052603,195
03:00:00,100052605,66
03:00:00,100052606,148
03:00:00,100053055,32
03:00:00,100053059,60
03:00:00,100053210,53
03:00:00,100054073,69
03:00:00,100055268,165
03:00:00,100056188,1167
03:00:00,300014985,604
03:00:00,300014986,1200
03:00:00,300014993,209
03:00:00,300014994,11
03:00:00,300014995,1469
03:00:00,300014996,503
03:00:00,300020478,364
03:00:00,300020679,404
03:00:00,300020816,214
03:00:00,300020817,505
03:00:00,300021685,24
03:00:00,300022314,0
03:00:00,300028650,138
03:00:00,ZLT24020668,119
03:00:00,ZLT24020669,106
03:15:00,100001753,259
03:15:00,100003032,1113
03:15:00,100003040,7
03:15:00,100003041,597
03:15:00,100003042,507
03:15:00,100004575,0
03:15:00,100007390,2326
03:15:00,100011747,123
03:15:00,100011783,201
03:15:00,100012217,706
03:15:00,100012218,160
03:15:00,100017441,595
03:15:00,100017523,21
03:15:00,100025474,829
03:15:00,100034805,0
03:15:00,100035408,1
03:15:00,100035409,2
03:15:00,100041114,123
03:15:00,100047030,428
03:15:00,100052600,543
03:15:00,100052602,7
03:15:00,100052603,248
03:15:00,100052605,41
03:15:00,100052606,201
03:15:00,100053055,28
03:15:00,100053059,54
03:15:00,100053210,49
03:15:00,100054073,48
03:15:00,100055268,137
03:15:00,100056188,1096
03:15:00,300014985,657
03:15:00,300014986,1288
03:15:00,300014993,218
03:15:00,300014994,13
03:15:00,300014995,1702
03:15:00,300014996,556
03:15:00,300020478,393
03:15:00,300020679,454
03:15:00,300020816,203
03:15:00,300020817,500
03:15:00,300021685,22
03:15:00,300022314,0
03:15:00,300028650,174
03:15:00,ZLT24020668,149
03:15:00,ZLT24020669,67
03:30:00,100001753,228
03:30:00,100003032,954
03:30:00,100003040,6
03:30:00,100003041,429
03:30:00,100003042,486
03:30:00,100004575,0
03:30:00,100007390,2299
03:30:00,100011747,102
03:30:00,100011783,175
03:30:00,100012217,600
03:30:00,100012218,75
03:30:00,100017441,496
03:30:00,100017523,52
03:30:00,100025474,704
03:30:00,100034805,4
03:30:00,100035408,12
03:30:00,100035409,0
03:30:00,100041114,29
03:30:00,100047030,407
03:30:00,100052600,632
03:30:00,100052602,7
03:30:00,100052603,204
03:30:00,100052605,54
03:30:00,100052606,137
03:30:00,100053055,18
03:30:00,100053059,34
03:30:00,100053210,66
03:30:00,100054073,72
03:30:00,100055268,167
03:30:00,100056188,974
03:30:00,300014985,520
03:30:00,300014986,1079
03:30:00,300014993,183
03:30:00,300014994,8
03:30:00,300014995,1480
03:30:00,300014996,465
03:30:00,300020478,344
03:30:00,300020679,437
03:30:00,300020816,117
03:30:00,300020817,514
03:30:00,300021685,17
03:30:00,300022314,0
03:30:00,300028650,160
03:30:00,ZLT24020668,136
03:30:00,ZLT24020669,75
03:45:00,100001753,236
03:45:00,100003032,751
03:45:00,100003040,6
03:45:00,100003041,370
03:45:00,100003042,356
03:45:00,100004575,0
03:45:00,100007390,2377
03:45:00,100011747,104
03:45:00,100011783,163
03:45:00,100012217,535
03:45:00,100012218,89
03:45:00,100017441,381
03:45:00,100017523,28
03:45:00,100025474,506
03:45:00,100034805,2
03:45:00,100035408,11
03:45:00,100035409,1
03:45:00,100041114,24
03:45:00,100047030,295
03:45:00,100052600,557
